,Verb,cleaned_tweets,pverb
0, Авансировать ,авансировать,авансируй
1,Автоматизировать ,автоматизировать,автоматизируй
2,Агитировать ,агитировать,агитируй
7,Администрировать ,администрировать,администрируй
9,Акклиматизироваться ,акклиматизироваться,акклиматизируй
10,Аккомпанировать ,аккомпанировать,аккомпанируй
12,Активизировать ,активизировать,активизируй
13,Акцентировать ,акцентировать,акцентируй
14,Алеть ,алеть,алей
16,Амальгамировать ,амальгамировать,амальгамируй
17,Амнистировать ,амнистировать,амнистируй
18,Ампутировать ,ампутировать,ампутируй
19,Анализировать ,анализировать,анализируй
20,Апеллировать ,апеллировать,апелируй
21,Аплодировать ,аплодировать,аплодируй
23,Аргументировать ,аргументировать,аргументируй
25,Арендовать ,арендовать,арендуй
27,Арестовывать ,арестовывать,арестовывай
28,Ассигновать ,ассигновать,ассинируй
29,Ассистировать ,ассистировать,ассинируй
31,Атаковать ,атаковать,атакуй
32,Аттестовывать ,аттестовывать,аттестуй
33,Афишировать ,афишировать,афишируй
34, ,,
35,Багроветь ,багроветь,багровей
37,Баллотировать ,баллотировать,баллотируй
38,Баловать ,баловать,балуй
39,Баловаться ,баловаться,балуйся
40,Бальзамировать ,бальзамировать,бальзамируй
41,Барабанить ,барабанить,барабань
43,Барахтаться ,барахтаться,барахтайся
44,Баррикадировать ,баррикадировать,баррикадируй
45,Барствовать ,барствовать,барствуй
46,Басить ,басить,баси
47,Бастовать ,бастовать,баствуй
48,Батрачить ,батрачить,батрачь
49,Бегать ,бегать,багай
51,Беднеть ,беднеть,бедней
52,Бедокурить ,бедокурить,бедокурь
53,Бедствовать ,бедствовать,бедствуй
54,Бежать ,бежать,беги
61,Бездельничать ,бездельничать,бездельничай
62,Беззаконничать ,беззаконничать,баззаконничай
63,Безумствовать ,безумствовать,безумствуй
64,Белеть ,белеть,белей
66,Белить ,белить,бели
67,Бередить ,бередить,бередь
68,Беречь ,беречь,береги
70,Беседовать ,беседовать,беседуй
71,Бесить ,бесить,беси
73,Беситься ,беситься,бесись
75,Бесноваться ,бесноваться,беснуйся
76,Беспокоиться ,беспокоиться,беспокойся
77,Беспутствовать ,беспутствовать,беспутствуй
79,Бесславить ,бесславить,бесславь
81,Бесстыдничать ,бесстыдничать,бусстыдничай
82,Бесчестить ,бесчестить,бесчесть
83,Бешенствовать ,бешенствовать,бешенствуй
84,Бинтовать ,бинтовать,бентуй
86,Бисировать ,бисировать,бисируй
88,Бить ,бить,бей
102,Биться ,биться,бейся
107,Благоволить ,благоволить,благоволи
108,Благоговеть ,благоговеть,баговей
109,Благодарить ,благодарить,благодори
110,Благоденствовать ,благоденствовать,багоденствуй
111,Благодушествовать ,благодушествовать,благодушенствуй
112,Благоприятствовать ,благоприятствовать,благопреятствуй
113,Благословлять ,благословлять,благослови
114,Благоухать ,благоухать,благоухай
115,Блаженствовать ,блаженствовать,блаженствуй
116,Бледнеть ,бледнеть,бледней
120,Блекнуть ,блекнуть,блекни
121,Блеснуть ,блеснуть,блесни
122,Блестеть ,блестеть,блести
126,Блеять ,блеять,блей
127,Блистать ,блистать,блистай
128,Блокировать ,блокировать,блокируй
130,Блуждать ,блуждать,блуждай
134,Богатеть ,богатеть,богатей
135,Боготворить ,боготворить,боготвори
136,Бодать ,бодать,бодай
137,Бодрить ,бодрить,бодри
139,Бодриться ,бодриться,бодрейся
140,Бодрствовать ,бодрствовать,бодствуй
141,Божиться ,божиться,божись
142,Боксировать ,боксировать,боксируй
143,Болеть ,болеть,болей
145,Болтать ,болтать,болтай
152,Болтаться ,болтаться,болтайся
154,Бомбардировать ,бомбардировать,бомбардируй
155,Бомбить ,бомбить,бомби
156,Бормотать ,бормотать,бормочи
157,Боронить ,боронить,борони
158,Бороть ,бороть,бори
159,Бороться ,бороться,борись
164,Бояться ,бояться,боись
165,Бранить ,бранить,брани
166,Браниться ,браниться,бранись
169,Брать ,брать,бери
182,Браться ,браться,берись
183,Бредить ,бредить,бредь
184,Брезговать ,брезговать,брезгуй
185,Брезжить ,брезжить,брежи
187,Бренчать ,бренчать,бренись
189,Брести ,брести,бре
190,Брить ,брить,брей
191,Бриться ,бриться,бреди
192,Бродить ,бродить,бороди
196,Бродяжить ,бродяжить,бродяжь
197,Бродяжничать ,бродяжничать,бродяжничай
198,Бронзировать ,бронзировать,бронзируй
199,Бронировать ,бронировать,бронируй
200,Бросать ,бросать,бросай
207,Бросаться ,бросаться,бросайся
210,Брызгать ,брызгать,брызгай
214,Брызгаться ,брызгаться,брызгайся
215,Брызнуть ,брызнуть,брызни
216,Брюзжать ,брюзжать,брюжжи
218,Брякать ,брякать,браякни
219,Брякаться ,брякаться,брякайся
220,Бубнить ,бубнить,бубни
222,Будить ,будить,буди
225,Будоражить ,будоражить,будоражь
227,Буйствовать ,буйствовать,буйствуй
228,Бултыхаться ,бултыхаться,бултыхайся
229,Булькать ,булькать,булькай
230,Бунтовать ,бунтовать,бунтуй
231,Буравить ,буравить,буравь
232,Буранить ,буранять,бурань
233,Буреть ,буреть,бурей
235,Бурить ,бурить,бури
